date,time,title,description,location
2025-11-18,09:00,Team Meeting,Weekly team sync-up and project updates,Conference Room A
2025-11-18,14:00,Client Presentation,Present Q4 proposal to ABC Corp,Zoom
2025-11-19,10:30,Code Review,Review pull requests for new features,Development Office
2025-11-19,15:00,Training Session,Python best practices workshop,Training Center
2025-11-20,11:00,Lunch Meeting,Discuss partnership with potential client,Downtown Cafe
2025-11-20,16:00,Project Planning,Sprint planning for next iteration,Conference Room B
2025-11-21,09:30,Stand-up,Daily team stand-up meeting,Online
2025-11-21,13:00,Interview,Technical interview with candidate,HR Office
2025-11-22,10:00,Department Review,Monthly department performance review,Board Room
2025-11-22,14:30,Workshop,Agile methodology workshop,Training Center
